,Lam1,Lam2,Lam3,Lam4,Lam5,Lam6,Lam7,Lam8,Lam9,Lam10,Lam11,MS2,Mn2,vX,Yc,muC,g1p,epsilon,ZL11,ZL12,ZL21,ZL22,ZR11,ZR12,ZR21,ZR22,ZN11,ZN12,ZN21,ZN22,mXi_1,mXi_2,mns_1,mns_2,YnL11,YnL12,YnL13,YnL21,YnL22,YnL23,YnR11,YnR12,YnR13,YnR21,YnR22,YnR23,Omega1,Omega2,SIN1,SIN2,sv,MZp,mh1,mh2,theta,thetaf,T,S,U,g2mu,mChi,TWpSPheno,MZpSPheno
0,0.2581463321933822,0.425448268109275,0.0357020829905292,0.0001802475216149,0.0092750074423849,1.9244762664311343e-06,0.0116339853527783,0.2632579175293824,0.0183794125680693,0.1635533760060325,0.0235952604499535,22520990.87452834,2425966.8152179765,10905.852512807898,0.4200910895513499,854.9058753745668,0.0031325854106827,1.0998330022306612e-06,-0.9950129664928696,-0.0997456591088521,0.0997456591088521,-0.9950129664928696,-0.9950129664928696,-0.0997456591088521,0.0997456591088521,-0.9950129664928696,-0.9999934727572628,0.0036130932549566,-0.0036130932549566,-0.9999934727572628,3246.190054286545,3630.004718655791,1765.9369969554,5678.754514160111,0.0,0.0004059137162437,0.0228394645151551,0.0,0.0008123106751751,0.0543987856869048,-8.499158404480979e-07,-7.658206904430344e-07,1.1158624775651077e-06,3.426124916399449e-07,3.030910829062495e-07,-4.591805627880072e-07,0.109,1.1e-12,6.174e-19,8.631e-14,8.631e-14,307.4716302537458,125.1,1050.3081936830397,4.751911308477694e-06,0.0999118022287163,-1.78997225e-09,-9.63461173e-07,2.93650255e-06,2.16045542e-14,3239.575398289899,-5.015535231273265e-08,307.4716302537458
1,0.2581663723316629,0.0001011191389705,0.002271312400927,0.0089567363422275,0.103938475125914,0.0014395254777284,0.0082912237189,0.0473625521593517,0.0002383316007203,0.0009459469561739,0.3587603417496409,5204061.793261958,29856788.311700527,5401.440022209188,0.2246505399428011,213.34884574649,0.004430842525867,0.0002388346272287,-0.9365696947433134,-0.3504813930701841,0.3504813930701841,-0.9365696947433134,-0.9365696947433134,-0.3504813930701841,0.3504813930701841,-0.9365696947433134,-0.00106079034897,0.9999994373617594,0.9999994373617594,0.00106079034897,864.6156805083306,1619.8484111767848,2284.259271382765,5475.22666614015,0.0,0.0001693135119972,0.000604109446167,0.0,0.6062425754548527,0.1949409989547003,1.167953717794811e-06,6.95605432515252e-06,6.706780028890154e-06,3.874070958081655e-10,-8.521401916168871e-10,-2.063707444624753e-09,0.0554,0.0631,5.945e-15,3.222e-14,3.222e-14,215.3963590752876,125.1,1741.3970946484835,0.0006346069885867,5.070474030622544,-9.59386817e-08,1.59810397e-07,3.11948503e-07,-1.0699759e-13,858.0291193232264,-2.4661173269788078e-05,215.3963590752876
2,0.2581463319043303,0.000310092707188,0.1052369974989605,0.1221226392718344,41.03207697665929,6.888817275852757e-05,0.1517377895856117,0.166119679690712,0.0004572864289796,0.0476150777287459,0.0007769758404571,2872983.531596338,33906551.02458201,353.1755006372659,0.9929267014214896,133.1373872086299,0.0599010723280214,1.5030206751597449e-06,-0.9997888182828308,-0.0205503974808412,0.0205503974808412,-0.9997888182828308,-0.9997888182828308,-0.0205503974808412,0.0205503974808412,-0.9997888182828308,-0.0005279288456004,0.9999998606455572,0.9999998606455572,0.0005279288456004,249.86486694438645,251.3622702637932,1695.8650665988655,5824.338144154912,0.0,0.0001078251597163,0.0011294622023173,0.0,0.0039267419040717,0.0023809968545,2.007916206894825e-06,1.6275931698827314e-05,1.6536597768943318e-05,5.142671387059832e-07,9.503135557722324e-08,-1.2143883925455333e-06,0.0846,0.031,7.89e-18,6.31e-16,6.31e-16,190.40032087299232,125.1,2262.311066076756,1.1740455550565e-06,0.0205518442257954,1.85818027e-06,2.77697468e-06,2.69979745e-07,2.15999709e-14,247.96635685079687,-2.115448695900185e-07,190.40032087299232
3,0.2581463327084841,0.1648738275876759,0.1902810285599954,0.0973724239383971,383.0198336709767,0.0005934249668023,0.0005690545089841,0.0526457770546881,0.0512951904760493,0.0219141903171791,0.0001108609510682,29617927.121188164,12325691.480568288,226.47141308016285,0.8162230789490064,426.6816423114469,0.061802042034761,1.0960831221533445e-06,-0.8536845756602509,-0.5207904043660726,0.5207904043660726,-0.8536845756602509,-0.8536845756602509,-0.5207904043660726,0.5207904043660726,-0.8536845756602509,-0.9999953827252778,0.0030388366400578,-0.0030388366400578,-0.9999953827252778,263.1108204205093,264.1227602665293,3512.01735182587,5442.44463497923,0.0,0.0134905217500226,0.0449576430890255,0.0,0.0780418506312813,0.0130787179107527,-3.7089033214908686e-08,-1.970236988250769e-07,-1.824461103492613e-07,-8.490163225798785e-09,2.250463255565029e-08,4.797779714783027e-08,0.105,0.00656,2.141e-17,1.872e-15,1.872e-15,125.96756211751632,125.1,4432.247682176919,1.6857827646633657e-06,3.689369217100463,3.21136275e-06,6.04697055e-06,7.42710608e-07,1.56758284e-14,130.70953284314191,-5.706522963666969e-07,125.96756211751632
4,0.2581649090047808,0.001122746506391,0.0006443878081968,0.0341703821292087,0.2411237824213506,0.0021089005288209,0.2809078096103506,0.9854392796652538,0.00036341258451,0.0945599526043843,0.0605267001519661,17783703.215779196,3787909.16269548,3016.69104624272,0.3284739462927964,978.4450568741022,0.0046760376933339,0.0053668607369539,-0.9441716969154093,-0.3294538006213872,0.3294538006213872,-0.9441716969154093,-0.9441716969154093,-0.3294538006213872,0.3294538006213872,-0.9441716969154093,-0.9999580347910084,0.0091612584781998,-0.0091612584781998,-0.9999580347910084,707.2885410972758,947.8391703308222,2250.788996163809,4267.913504814533,0.0,0.0154482488444782,0.0756874103211211,0.0,0.0511523456363491,0.6172892418834255,-1.0247565419977336e-08,-3.312382639885002e-09,1.9198976666764872e-08,8.472888948487053e-10,-6.68234980409558e-10,-2.946748978110334e-09,0.0694,0.048,2.48e-12,2.627e-10,2.627e-10,126.95179275522965,125.1,1481.3271050531664,0.000718981916195,0.3357250209047004,3.87789599e-05,-2.08729216e-05,1.60584128e-05,1.21405141e-13,700.675229731726,-0.0027049580581397217,126.95179275522965
5,0.2581463566598516,0.0001496596016799,0.0001070812991626,0.3839014821233428,1.991891539227524,0.0002221010599908,0.0002003948299042,0.0015437798228165,0.0005210607003562,0.2839634678907777,0.0001026515991313,77854638.20063028,1181114.5407149077,1353.385064935404,0.896193044064153,183.9079531237653,0.0103999076354464,1.0191984639348738e-06,-0.9999609850179332,-0.0088333709287278,0.0088333709287278,-0.9999609850179332,-0.9999609850179332,-0.0088333709287278,0.0088333709287278,-0.9999609850179332,-0.99999995668274,0.000294337422298,-0.000294337422298,-0.99999995668274,1242.876249168129,1529.7618442679732,1092.214072464394,8838.253315177131,0.0,0.0002522391202258,0.0293452696309468,0.0,0.0008866453294515,0.0079151119071217,1.9657835142761217e-07,3.6626111032264423e-08,-4.273756317095282e-07,-7.546109805095725e-07,-6.288209103833005e-07,8.146616116306651e-07,0.0898,0.0299,6.033e-17,0.002459,0.002459,126.67571703455664,125.1,1910.0917250539096,2.03729916068034e-05,0.0088334858084567,0.000524938193,0.000251008101,8.2113577e-06,2.16021529e-14,857.6457710532391,-5.183448241996393e-07,126.67571703455664
6,0.2581530166040954,0.4295024714925141,0.000132451397712,0.0041755048406786,0.0015602210432129,0.0001014796644937,0.0497123176651563,0.1854728697936239,0.3978386233159262,0.0588695695007618,0.3592578409691938,62579992.793512106,20706662.196340147,28187.85570156886,0.358742943495988,212.43748551457,0.0016842784540938,6.427066791560608e-05,-0.999884904889236,-0.0151715844473633,0.0151715844473633,-0.999884904889236,-0.999884904889236,-0.0151715844473633,0.0151715844473633,-0.999884904889236,-0.9999998349732154,0.0005745028648931,-0.0005745028648931,-0.9999998349732154,7158.923685610269,7422.223460397507,6360.532071507973,9272.520087162606,0.0,0.7311155693105917,0.0006216982925039,0.0,0.6408710057536029,0.1025880875886362,5.825159320272065e-09,3.148893797038869e-08,2.7645502721013293e-08,-7.287007340907777e-09,-3.6081526782544e-08,-3.021400884629909e-08,0.122,7.52e-11,5.638e-15,0.002463,0.002463,427.2857804623325,125.1,1113.410150134341,0.0005754037168789,0.015172166532559,-8.11598382e-08,1.21439811e-07,2.25193498e-07,-1.01283491e-13,7150.401180039878,-1.45022869295036e-06,427.2857804623325
7,0.258146614202501,0.0009324237219657,0.3497793412576899,0.0004109999778879,0.0176909507233048,7.060989544128074e-05,0.003192365842045,0.0021430085270623,0.1387236854664943,0.0001130524279192,0.0005958507088928,13066107.03574014,1960737.4194990704,20597.113230966155,0.1011408760850171,440.6517790213558,0.0012024430816778,2.626865253002947e-06,-0.9106045367774256,-0.4132788133940215,0.4132788133940215,-0.9106045367774256,-0.9106045367774256,-0.4132788133940215,0.4132788133940215,-0.9106045367774256,-0.9999865154557844,0.0051931595968415,-0.0051931595968415,-0.9999865154557844,1476.488745329886,1480.812840759862,1627.3405046944918,3618.642637166512,0.0,0.0533945038568868,0.1113306957233704,0.0,0.7718366545105321,0.0060228431437145,-1.238930365888409e-09,-6.2622055152438545e-09,-6.150427706235824e-09,-4.432040968102806e-11,3.2571534791422046e-10,5.60600979077136e-10,0.113,8.31e-06,3.668e-18,1.451e-18,1.451e-18,222.901706762464,125.1,2739.5671085618123,4.781222031154955e-05,0.4260518322419917,-3.1843399e-09,-5.22949078e-07,3.45821815e-06,-1.41062899e-12,1473.0519720844152,-2.4967224431875763e-07,222.901706762464
8,0.2581463344774488,0.855421479887093,0.0005273624918056,0.020155964875748,38.86362187495536,0.0003221184195455,0.0218037025766169,0.0086354257313326,0.0268654804645932,0.001827776399908,0.8053748991153349,62005982.751772486,69746618.2802492,237.04479270703092,0.8387749190044318,128.52566053991404,0.0593578694750409,1.8271477075034515e-05,-0.9953581039527244,-0.0962405574362347,0.0962405574362347,-0.9953581039527244,-0.9953581039527244,-0.0962405574362347,0.0962405574362347,-0.9953581039527244,-0.0020440139959228,0.9999979110012104,0.9999979110012104,0.0020440139959228,339.8029290125505,348.58534052869464,7874.440685870388,8351.520230405698,0.0,0.0183944677498232,0.0002175032143513,0.0,0.0016771552145283,0.0182754007348533,4.033663074444445e-07,5.272143196472548e-08,-9.331254987024752e-07,7.762675401434033e-07,3.949166087371405e-06,3.246495104930905e-06,0.105,0.00512,4.504e-15,4.859e-13,4.859e-13,126.6342647449022,125.1,1477.753699934363,8.671411593577018e-06,0.0963897473704015,-4.06884599e-09,-4.51043119e-07,1.31440698e-07,2.15490887e-14,140.5920803571024,-9.305161121688745e-06,126.6342647449022
9,0.2581464304971324,0.0048630160503604,0.0001163628525516,0.0002394869830089,0.2967194356808713,0.0001708117120992,0.0048099103348597,0.0243421682755352,0.1045698253925183,0.0001140481802432,0.001127673726767,76171310.43149023,41785584.58352307,3710.8692553791343,0.371712685144311,1020.3753175896528,0.0092813323317595,0.0001288223921911,-0.999992795312023,-0.0037959615444118,0.0037959615444118,-0.999992795312023,-0.999992795312023,-0.0037959615444118,0.0037959615444118,-0.999992795312023,-0.9999933158922686,0.0036562509193627,-0.0036562509193627,-0.9999933158922686,1001.4942714343836,1006.544915826024,6466.703459298273,8727.870572563977,0.0,0.0002896544493093,0.1847905743676836,0.0,0.0001785805165339,0.0189348288022392,2.5847700097756845e-07,2.057988987207881e-07,-2.979909507689415e-07,-2.5415956432573675e-06,-2.1395887737071883e-06,2.754655866720977e-06,0.0501,0.0648,2.962e-16,1.503e-14,1.503e-14,309.97629204582427,125.1,2021.383194272272,3.834307519577837e-05,0.0037959706606775,2.07085445e-09,-8.58364462e-08,2.20022115e-07,2.16204733e-14,975.3669543529264,-5.7711378676141784e-06,309.97629204582427
